Score_Comercial,Es_Desarrollo_Propio,Precio_Confiable,Municipio,Colonia,Operación,Tipo,Título/Colonia,Precio,precio_m2,precio_m2_vs_mediana,Recámaras,Baños,m²,Completitud,codigo_eb,Liga,lat,lon
72.4,,True,Guadalajara,Lafayette,VENTA,Departamento,Departamento en venta en Guadalajara,7500000.0,25862.068965517243,0.6085006117177941,3.0,2.0,290.0,1.0,EB-JN5128,https://www.aciertamax.com/property/departamento-en-venta-y-renta-en-guadalajara-jalisco,20.6691361,-103.3709775
72.3,,True,Guadalajara,Santa Elena Alcalde Oriente,VENTA,Casa,Residencia en huentitan,12900000.0,10723.192019950126,0.6076555522715126,4.0,4.0,1203.0,1.0,EB-OE3635,https://www.aciertamax.com/property/residencia-en-huentitan,20.7130995,-103.3435756
72.1,,True,Tlajomulco de Zúñiga,La Tijera,VENTA,Casa en condominio,"Edificio con Deptos y Locales generando $ 78,000.00 mes en renta INVERSIONISTAS",10000000.0,10940.919037199124,0.6012421307626743,11.0,11.0,914.0,1.0,EB-WG7329,https://www.aciertamax.com/property/edificio-con-deptos-y-locales-generando-78-000-00-mes-en-renta-inversionistas,20.585151231,-103.4367176111
72.1,,True,Guadalajara,Verde Valle,RENTA,Departamento,DEPARTAMENTO EN COLONIA VERDE VALLE,17500.0,125.89928057553956,0.6021336360702216,3.0,1.0,139.0,1.0,EB-WZ3486,https://www.aciertamax.com/property/departamento-en-colonia-verde-valle,20.6502229117,-103.3976969894
72.1,,True,Guadalajara,Americana,RENTA,Departamento,"DEPARTAMENTO EN RENTA , RECIÉN REMODELADO , A LADO DEL EXPIATORIO",17000.0,125.92592592592592,0.602049431548755,3.0,2.0,135.0,1.0,EB-PT1506,https://www.aciertamax.com/property/departamento-remodelado-con-ubicacion-inmejorable,20.674006,-103.3565263
71.8,,True,Zapopan,Valle Real,VENTA,Departamento,Venta Departamento en Valle Real,12990000.0,28866.666666666668,0.5960161406946096,3.0,4.0,450.0,1.0,EB-TE2948,https://www.aciertamax.com/property/venta-departamento-en-valle-real-valle-real,20.7276371768,-103.4342450356
71.8,,True,Zapopan,Ciudad Del Sol,RENTA,Oficina,OFICINA EN RENTA EN PLAZA DEL SOL,60000.0,153.84615384615384,0.734412955465587,,4.0,390.0,0.75,EB-MF8039,https://www.aciertamax.com/property/oficinas-dentro-de-plaza-del-sol,20.6501546042,-103.4015093487
71.4,,True,Zapopan,Jardines de San Ignacio,RENTA,Departamento,Departamento en Av Guadalupe amueblado,35000.0,126.35379061371842,0.5872654498695522,3.0,3.0,277.0,1.0,EB-WM8481,https://www.aciertamax.com/property/departamento-en-av-guadalupe-amueblado,20.6652031,-103.4101358
71.3,,True,Zapopan,Ciudad Bugambilia,VENTA,Casa,Casa en venta en Bugambilias 2da sección,10500000.0,15000.0,0.5840608784730207,3.0,4.0,700.0,1.0,EB-RZ8703,https://www.aciertamax.com/property/casa-en-venta-en-bugambilias-2da-seccion-59b37c4b-c1a5-4e57-bc8d-37e2e37644a2,20.6154329877,-103.4682725958
71.3,,True,Tlajomulco de Zúñiga,Jardines de La Calera,VENTA,Casa,CASA EN VENTA EN JARDINES DE LA CALERA,10822530.0,11197.303756738022,0.5849736925283263,7.0,8.0,966.53,1.0,EB-VJ9779,https://www.aciertamax.com/property/se-vende-casa-en-jardines-de-la-calera,20.4504621,-103.2614548
71.3,,True,Zapopan,San Wenceslao,RENTA,Oficina,"Oficina en renta a puerta cerrada, SAN WENCESLAO",48000.0,160.0,0.7237894736842105,,4.0,300.0,0.75,EB-WB8313,https://www.aciertamax.com/property/oficina-en-renta-a-puerta-cerrada-san-wenceslao,20.6988314,-103.4114186
71.2,,True,Guadalajara,San Juan de Dios,RENTA,Local en centro comercial,SE RENTA LOCAL EN PLAZA COMERCIAL,20000.0,96.15384615384616,0.7213500784929356,,4.0,208.0,0.75,EB-SU1038,https://www.aciertamax.com/property/se-renta-local-equipado-para-restaurant-bar,20.6750684,-103.3429137
71.2,,True,Zapopan,Las Cañadas,VENTA,Casa en condominio,Casa en Venta en Las Cañadas Zapopan | Opción a Terminar o Proyecto para Persona,18500000.0,17129.62962962963,0.582363315696649,4.0,4.0,1080.0,1.0,EB-VO8282,https://www.aciertamax.com/property/casa-en-venta-en-las-canadas-zapopan-opcion-a-terminar-o-proyecto-para-persona,20.7775936543,-103.3706222033
