Municipio,Colonia,Operación,Precio,Moneda,Título/Colonia,Tipo,Recámaras,Baños,m²,codigo_eb,Liga,lat,lon,Fuente,Fecha_Corrida
Guadalajara,Ladrón de Guevara,VENTA,44000000.0,MXN,TERRENO EN VENTA AV. HIDALGO,Terreno comercial,,,1100.0,EB-WR1998,https://www.aciertamax.com/property/terreno-en-venta-av-hidalgo,20.6772357,-103.3711314,EasyBroker-aciertamax,2026-09-20
Guadalajara,Lomas de Polanco,VENTA,44000000.0,MXN,Bodega Industrial Venta Zona Industrial lomas de polanco,Bodega industrial,,,1960.0,EB-VM6793,https://www.aciertamax.com/property/bodega-industrial-venta-zona-industrial-lomas-de-polanco,20.6329577,-103.3645429,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,43704000.0,MXN,TERRENO EN VENTA COLONIA AMERICANA,Terreno,,,1214.0,EB-RE6967,https://www.aciertamax.com/property/terreno-en-venta-colonia-americana-americana,20.6720878,-103.3723685,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,43704000.0,MXN,TERRENO EN VENTA COLONIA AMERICANA,Terreno,,,1214.14,EB-QV0572,https://www.aciertamax.com/property/terreno-en-venta-colonia-americana,20.6717775,-103.3630608,EasyBroker-aciertamax,2026-09-20
Guadalajara,Del Fresno 1a. Sección,VENTA,41900000.0,MXN,Bodega en renta a pie de las vías del tren Colonia Del Fresno,Bodega industrial,,,2400.0,EB-VN0728,https://www.aciertamax.com/property/bodega-en-renta-a-pie-de-las-vias-del-tren-colonia-del-fresno,20.6566396,-103.3683469,EasyBroker-aciertamax,2026-09-20
Guadalajara,Chapalita,VENTA,37000000.0,MXN,"CASA EN VENTA CON USO DE SUELO ""CHAPALITA""",Casa,5,4,437.0,EB-VW5135,https://www.aciertamax.com/property/casa-en-venta-con-uso-de-suelo-chapalita-chapalita,20.6654828,-103.4055691,EasyBroker-aciertamax,2026-09-20
Guadalajara,Chapalita,VENTA,37000000.0,MXN,"CASA EN VENTA CON USO DE SUELO ""CHAPALITA""",Casa con uso de suelo,5,4,437.0,EB-VW5106,https://www.aciertamax.com/property/casa-en-venta-con-uso-de-suelo-chapalita,20.6654828,-103.4055691,EasyBroker-aciertamax,2026-09-20
Guadalajara,Guadalajara Centro,VENTA,37000000.0,MXN,Edificio En Venta En Colonia Centro Guadalajara,Edificio,,,1800.0,EB-MS0999,https://www.aciertamax.com/property/edificio-en-venta-en-colonia-centro-guadalajara,20.6720677,-103.3455927,EasyBroker-aciertamax,2026-09-20
Guadalajara,Jardines del Bosque Norte,VENTA,36000000.0,MXN,Exelente cabecera de manzana Mariano Otero,Terreno,,,895.74,EB-SH3272,https://www.aciertamax.com/property/exelente-cabecera-de-manzana-mariano-otero,20.6616785472,-103.3801674843,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colinas de San Javier,VENTA,35900000.0,MXN,"CASA EN VENTA EN COLINAS DE SAN JAVIER, ZAPOPAN",Casa,4,4,843.0,EB-RK7814,https://www.aciertamax.com/property/casa-en-venta-en-colinas-de-san-javier-zapopan-colinas-de-san-javier-guadalajara,20.705390856,-103.3955425842,EasyBroker-aciertamax,2026-09-20
Guadalajara,Santa Elena Alcalde Poniente,VENTA,35040000.0,MXN,"Terreno En Venta Sobre Av. Alcalde, Guadalajara",Terreno,,,1348.0,EB-WT1062,https://www.aciertamax.com/property/terreno-en-venta-sobre-av-alcalde-guadalajara,20.7150094256,-103.3457004113,EasyBroker-aciertamax,2026-09-20
Guadalajara,Lomas de Guevara,VENTA,35000000.0,MXN,Terreno en venta en Lomas de guevara para desarrollo,Terreno,,,700.0,EB-BE3721,https://www.aciertamax.com/property/para-inversionistas-ideal-para-desarrollo-vertical,20.689398,-103.3815247,EasyBroker-aciertamax,2026-09-20
Guadalajara,Lomas de Guevara,VENTA,35000000.0,MXN,Casa con uso de suelo en Lomas de Guevara,Casa,,,503.0,EB-BE3718,https://www.aciertamax.com/property/se-vende-como-terreno-ideal-para-desarrollo-vertical,20.689398,-103.3815247,EasyBroker-aciertamax,2026-09-20
Guadalajara,Circunvalación Vallarta,VENTA,34830400.0,MXN,OFICINA EN VENTA EN RUBEN DARIO,Oficina,,,435.38,EB-TA9697,https://www.aciertamax.com/property/oficina-en-venta-en-ruben-dario-circunvalacion-vallarta-guadalajara,20.6822292248,-103.3854173586,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colinas de San Javier,VENTA,34400000.0,MXN,Casa a la Venta en Colinas De San Javier,Casa,4,4,1083.8,EB-SA6818,https://www.aciertamax.com/property/casa-a-la-venta-en-colinas-de-san-javier-colinas-de-san-javier-casa,20.6996034,-103.4002893,EasyBroker-aciertamax,2026-09-20
Guadalajara,Monraz,VENTA,33841000.0,MXN,Terreno en Venta en Monraz,Terreno,,,787.0,EB-UT9449,https://www.aciertamax.com/property/terreno-en-venta-en-monraz-monraz-guadalajara,20.6828937,-103.3951613,EasyBroker-aciertamax,2026-09-20
Guadalajara,Las Torres,VENTA,33600000.0,MXN,🏗️ BODEGA INDUSTRIAL en Av. Lázaro Cárdenas (ZONA DE ABASTOS),Bodega comercial,,,1200.0,EB-SH7713,https://www.aciertamax.com/property/terreno-estrategico-en-av-lazaro-cardenas-oportunidad-unica-de-inversion,20.6537556,-103.3746587,EasyBroker-aciertamax,2026-09-20
Guadalajara,Colinas de San Javier,VENTA,32900000.0,MXN,🏡 Residencia de Lujo Totalmente Remodelada,Casa en condominio,3,5,673.0,EB-WR1217,https://www.aciertamax.com/property/residencia-de-lujo-totalmente-remodelada,20.7041249,-103.3999407,EasyBroker-aciertamax,2026-09-20
Guadalajara,Arcos Vallarta,VENTA,32000000.0,MXN,"Edificio en Venta, Arcos Vallarta, Guadalajara",Edificio,,,1327.0,EB-OA7597,https://www.aciertamax.com/property/edificio-en-venta-arcos-vallarta-guadalajara,20.6721739,-103.3848319,EasyBroker-aciertamax,2026-09-20
Guadalajara,La Aurora,VENTA,31810934.0,MXN,EDIFICIO EN VENTA EN AV WASHINGTON,Bodega comercial,,,1243.0,EB-SC3429,https://www.aciertamax.com/property/bodega-funeraria-en-venta-en-av-washington,20.6553925,-103.3474573,EasyBroker-aciertamax,2026-09-20
Guadalajara,Americana,VENTA,31530000.0,MXN,CASONA EN VENTA SOBRE AV. VALLARTA EN LA COLONIA AMERICANA GDL,Casa,7,2,552.0,EB-PS9790,https://www.aciertamax.com/property/casona-en-venta-sobre-av-vallarta-en-la-colonia-americana-gdl,20.6749214,-103.362557,EasyBroker-aciertamax,2026-09-20
Guadalajara,Chapalita,VENTA,30800000.0,MXN,Casa en Chapalita,Casa,5,5,515.0,EB-TI9483,https://www.aciertamax.com/property/casa-en-chapalita-1cf2afbb-94e4-4122-a319-c012ca3d8b6b,20.6630059,-103.408965,EasyBroker-aciertamax,2026-09-20
Guadalajara,Chapalita,VENTA,30000000.0,MXN,"TERRENO EN VENTA SOBRE AV. LÁZARO CÁRDENAS, GUADALAJARA",Terreno,,,624.0,EB-WD6855,https://www.aciertamax.com/property/terreno-en-venta-sobre-av-lazaro-cardenas-guadalajara,20.663019095,-103.3910589124,EasyBroker-aciertamax,2026-09-20
